KO.y,cluster,KO,Description,Category,Family,KO.y,Name,Pathway
ko01220,NVE13938,K00002,AKR1A1; alcohol dehydrogenase (NADP+) [EC:1.1.1.2],Metabolism,Overview,ko01220,"AKR1A1, adh, alcohol dehydrogenase (NADP+)",01220 Degradation of aromatic compounds
ko04510,NVE20699,K05730,VAV; guanine nucleotide exchange factor VAV,Cellular Processes,Cellular community - eukaryotes,ko04510,"VAV, guanine nucleotide exchange factor VAV",04510 Focal adhesion
ko04810,NVE20699,K05730,VAV; guanine nucleotide exchange factor VAV,Cellular Processes,Cell motility,ko04810,"VAV, guanine nucleotide exchange factor VAV",04810 Regulation of actin cytoskeleton
ko04650,NVE20699,K05730,VAV; guanine nucleotide exchange factor VAV,Organismal Systems,Immune system,ko04650,"VAV, guanine nucleotide exchange factor VAV",04650 Natural killer cell mediated cytotoxicity
ko04660,NVE20699,K05730,VAV; guanine nucleotide exchange factor VAV,Organismal Systems,Immune system,ko04660,"VAV, guanine nucleotide exchange",04660 T cell receptor signaling pathway
ko04662,NVE20699,K05730,VAV; guanine nucleotide exchange factor VAV,Organismal Systems,Immune system,ko04662,"VAV, guanine nucleotide exchange factor",04662 B cell receptor signaling pathway
ko04664,NVE20699,K05730,VAV; guanine nucleotide exchange factor VAV,Organismal Systems,Immune system,ko04664,"VAV, guanine nucleotide exchange",04664 Fc epsilon RI signaling pathway
ko04666,NVE20699,K05730,VAV; guanine nucleotide exchange factor VAV,Organismal Systems,Immune system,ko04666,"VAV, guanine nucleotide exchange factor VAV",04666 Fc gamma R-mediated phagocytosis
ko04670,NVE20699,K05730,VAV; guanine nucleotide exchange factor VAV,Organismal Systems,Immune system,ko04670,"VAV, guanine nucleotide exchange factor",04670 Leukocyte transendothelial migration
ko04062,NVE20699,K05730,VAV; guanine nucleotide exchange factor VAV,Organismal Systems,Immune system,ko04062,"VAV, guanine nucleotide exchange",04062 Chemokine signaling pathway
ko04024,NVE20698,K05730,VAV; guanine nucleotide exchange factor VAV,Environmental Information Processing,Signal transduction,ko04024,"VAV, guanine nucleotide exchange",04024 cAMP signaling pathway
ko04510,NVE20698,K05730,VAV; guanine nucleotide exchange factor VAV,Cellular Processes,Cellular community - eukaryotes,ko04510,"VAV, guanine nucleotide exchange factor VAV",04510 Focal adhesion
ko04810,NVE20698,K05730,VAV; guanine nucleotide exchange factor VAV,Cellular Processes,Cell motility,ko04810,"VAV, guanine nucleotide exchange factor VAV",04810 Regulation of actin cytoskeleton
ko04650,NVE20698,K05730,VAV; guanine nucleotide exchange factor VAV,Organismal Systems,Immune system,ko04650,"VAV, guanine nucleotide exchange factor VAV",04650 Natural killer cell mediated cytotoxicity
ko04660,NVE20698,K05730,VAV; guanine nucleotide exchange factor VAV,Organismal Systems,Immune system,ko04660,"VAV, guanine nucleotide exchange",04660 T cell receptor signaling pathway
ko04662,NVE20698,K05730,VAV; guanine nucleotide exchange factor VAV,Organismal Systems,Immune system,ko04662,"VAV, guanine nucleotide exchange factor",04662 B cell receptor signaling pathway
ko04664,NVE20698,K05730,VAV; guanine nucleotide exchange factor VAV,Organismal Systems,Immune system,ko04664,"VAV, guanine nucleotide exchange",04664 Fc epsilon RI signaling pathway
ko04666,NVE20698,K05730,VAV; guanine nucleotide exchange factor VAV,Organismal Systems,Immune system,ko04666,"VAV, guanine nucleotide exchange factor VAV",04666 Fc gamma R-mediated phagocytosis
ko04670,NVE20698,K05730,VAV; guanine nucleotide exchange factor VAV,Organismal Systems,Immune system,ko04670,"VAV, guanine nucleotide exchange factor",04670 Leukocyte transendothelial migration
ko04062,NVE20698,K05730,VAV; guanine nucleotide exchange factor VAV,Organismal Systems,Immune system,ko04062,"VAV, guanine nucleotide exchange",04062 Chemokine signaling pathway
ko04014,NVE11223,K05736,,Environmental Information Processing,Signal transduction,ko04014,"PAK7, p21-activated kinase 7",04014 Ras signaling pathway
ko04012,NVE11223,K05736,,Environmental Information Processing,Signal transduction,ko04012,"PAK7, p21-activated kinase 7",04012 ErbB signaling pathway
ko04510,NVE11223,K05736,,Cellular Processes,Cellular community - eukaryotes,ko04510,"PAK7, p21-activated kinase 7",04510 Focal adhesion
ko04810,NVE11223,K05736,,Cellular Processes,Cell motility,ko04810,"PAK7, p21-activated kinase 7",04810 Regulation of actin cytoskeleton
ko04660,NVE11223,K05736,,Organismal Systems,Immune system,ko04660,"PAK7, p21-activated kinase 7",04660 T cell receptor signaling pathway
ko04360,NVE11223,K05736,,Organismal Systems,Development,ko04360,"PAK7, p21-activated kinase 7",04360 Axon guidance
ko05211,NVE11223,K05736,,Human Diseases,Cancers,ko05211,"PAK7, p21-activated kinase 7",05211 Renal cell carcinoma
ko04810,NVE16846,K05743,LIMK1; LIM domain kinase 1 [EC:2.7.11.1],Cellular Processes,Cell motility,ko04810,"LIMK1, LIM domain kinase 1",04810 Regulation of actin cytoskeleton
ko04666,NVE16846,K05743,LIMK1; LIM domain kinase 1 [EC:2.7.11.1],Organismal Systems,Immune system,ko04666,"LIMK1, LIM domain kinase 1",04666 Fc gamma R-mediated phagocytosis
ko04360,NVE16846,K05743,LIMK1; LIM domain kinase 1 [EC:2.7.11.1],Organismal Systems,Development,ko04360,"LIMK1, LIM domain kinase 1",04360 Axon guidance
ko04810,NVE23137,K05746,ENAH; enabled,Cellular Processes,Cell motility,ko04810,"ENAH, MENA, enabled",04810 Regulation of actin cytoskeleton
ko04360,NVE23137,K05746,ENAH; enabled,Organismal Systems,Development,ko04360,"ENAH, MENA, enabled",04360 Axon guidance
ko04144,NVE17646,K05747,WAS; Wiskott-Aldrich syndrome protein,Cellular Processes,Transport and catabolism,ko04144,"WAS, Wiskott-Aldrich syndrome protein",04144 Endocytosis
ko04520,NVE17646,K05747,WAS; Wiskott-Aldrich syndrome protein,Cellular Processes,Cellular community - eukaryotes,ko04520,"WAS, Wiskott-Aldrich syndrome protein",04520 Adherens junction
ko04530,NVE17646,K05747,WAS; Wiskott-Aldrich syndrome protein,Cellular Processes,Cellular community - eukaryotes,ko04530,"WAS, Wiskott-Aldrich syndrome protein",04530 Tight junction
ko04810,NVE17646,K05747,WAS; Wiskott-Aldrich syndrome protein,Cellular Processes,Cell motility,ko04810,"WAS, Wiskott-Aldrich syndrome protein",04810 Regulation of actin cytoskeleton
ko04666,NVE17646,K05747,WAS; Wiskott-Aldrich syndrome protein,Organismal Systems,Immune system,ko04666,"WAS, Wiskott-Aldrich syndrome protein",04666 Fc gamma R-mediated phagocytosis
ko04062,NVE17646,K05747,WAS; Wiskott-Aldrich syndrome protein,Organismal Systems,Immune system,ko04062,"WAS, Wiskott-Aldrich syndrome protein",04062 Chemokine signaling pathway
ko05231,NVE17646,K05747,WAS; Wiskott-Aldrich syndrome protein,Human Diseases,Cancers,ko05231,"WAS, Wiskott-Aldrich syndrome",05231 Choline metabolism in cancer
ko05130,NVE17646,K05747,WAS; Wiskott-Aldrich syndrome protein,Human Diseases,Infectious diseases,ko05130,"WAS, Wiskott-Aldrich syndrome protein",05130 Pathogenic Escherichia coli infection
ko05132,NVE17646,K05747,WAS; Wiskott-Aldrich syndrome protein,Human Diseases,Infectious diseases,ko05132,"WAS, Wiskott-Aldrich syndrome protein",05132 Salmonella infection
ko05131,NVE17646,K05747,WAS; Wiskott-Aldrich syndrome protein,Human Diseases,Infectious diseases,ko05131,"WAS, Wiskott-Aldrich syndrome protein",05131 Shigellosis
ko05100,NVE17646,K05747,WAS; Wiskott-Aldrich syndrome protein,Human Diseases,Infectious diseases,ko05100,"WAS, Wiskott-Aldrich syndrome protein",05100 Bacterial invasion of epithelial cells
ko04144,NVE11999,K05747,,Cellular Processes,Transport and catabolism,ko04144,"WAS, Wiskott-Aldrich syndrome protein",04144 Endocytosis
ko04520,NVE11999,K05747,,Cellular Processes,Cellular community - eukaryotes,ko04520,"WAS, Wiskott-Aldrich syndrome protein",04520 Adherens junction
ko04530,NVE11999,K05747,,Cellular Processes,Cellular community - eukaryotes,ko04530,"WAS, Wiskott-Aldrich syndrome protein",04530 Tight junction
ko04810,NVE11999,K05747,,Cellular Processes,Cell motility,ko04810,"WAS, Wiskott-Aldrich syndrome protein",04810 Regulation of actin cytoskeleton
ko04666,NVE11999,K05747,,Organismal Systems,Immune system,ko04666,"WAS, Wiskott-Aldrich syndrome protein",04666 Fc gamma R-mediated phagocytosis
ko04062,NVE11999,K05747,,Organismal Systems,Immune system,ko04062,"WAS, Wiskott-Aldrich syndrome protein",04062 Chemokine signaling pathway
ko05231,NVE11999,K05747,,Human Diseases,Cancers,ko05231,"WAS, Wiskott-Aldrich syndrome",05231 Choline metabolism in cancer
ko05130,NVE11999,K05747,,Human Diseases,Infectious diseases,ko05130,"WAS, Wiskott-Aldrich syndrome protein",05130 Pathogenic Escherichia coli infection
ko05132,NVE11999,K05747,,Human Diseases,Infectious diseases,ko05132,"WAS, Wiskott-Aldrich syndrome protein",05132 Salmonella infection
ko05131,NVE11999,K05747,,Human Diseases,Infectious diseases,ko05131,"WAS, Wiskott-Aldrich syndrome protein",05131 Shigellosis
ko05100,NVE11999,K05747,,Human Diseases,Infectious diseases,ko05100,"WAS, Wiskott-Aldrich syndrome protein",05100 Bacterial invasion of epithelial cells
ko04144,NVE12186,K05747,WAS; Wiskott-Aldrich syndrome protein,Cellular Processes,Transport and catabolism,ko04144,"WAS, Wiskott-Aldrich syndrome protein",04144 Endocytosis
ko04520,NVE12186,K05747,WAS; Wiskott-Aldrich syndrome protein,Cellular Processes,Cellular community - eukaryotes,ko04520,"WAS, Wiskott-Aldrich syndrome protein",04520 Adherens junction
ko04530,NVE12186,K05747,WAS; Wiskott-Aldrich syndrome protein,Cellular Processes,Cellular community - eukaryotes,ko04530,"WAS, Wiskott-Aldrich syndrome protein",04530 Tight junction
ko04810,NVE12186,K05747,WAS; Wiskott-Aldrich syndrome protein,Cellular Processes,Cell motility,ko04810,"WAS, Wiskott-Aldrich syndrome protein",04810 Regulation of actin cytoskeleton
ko04666,NVE12186,K05747,WAS; Wiskott-Aldrich syndrome protein,Organismal Systems,Immune system,ko04666,"WAS, Wiskott-Aldrich syndrome protein",04666 Fc gamma R-mediated phagocytosis
ko04062,NVE12186,K05747,WAS; Wiskott-Aldrich syndrome protein,Organismal Systems,Immune system,ko04062,"WAS, Wiskott-Aldrich syndrome protein",04062 Chemokine signaling pathway
ko05231,NVE12186,K05747,WAS; Wiskott-Aldrich syndrome protein,Human Diseases,Cancers,ko05231,"WAS, Wiskott-Aldrich syndrome",05231 Choline metabolism in cancer
ko05130,NVE12186,K05747,WAS; Wiskott-Aldrich syndrome protein,Human Diseases,Infectious diseases,ko05130,"WAS, Wiskott-Aldrich syndrome protein",05130 Pathogenic Escherichia coli infection
ko05132,NVE12186,K05747,WAS; Wiskott-Aldrich syndrome protein,Human Diseases,Infectious diseases,ko05132,"WAS, Wiskott-Aldrich syndrome protein",05132 Salmonella infection
ko05131,NVE12186,K05747,WAS; Wiskott-Aldrich syndrome protein,Human Diseases,Infectious diseases,ko05131,"WAS, Wiskott-Aldrich syndrome protein",05131 Shigellosis
ko05100,NVE12186,K05747,WAS; Wiskott-Aldrich syndrome protein,Human Diseases,Infectious diseases,ko05100,"WAS, Wiskott-Aldrich syndrome protein",05100 Bacterial invasion of epithelial cells
ko03013,NVE22038,K05749,CYFIP; cytoplasmic FMR1 interacting protein,Genetic Information Processing,Translation,ko03013,"CYFIP, cytoplasmic FMR1 interacting protein",03013 RNA transport
ko04810,NVE22038,K05749,CYFIP; cytoplasmic FMR1 interacting protein,Cellular Processes,Cell motility,ko04810,"CYFIP, cytoplasmic FMR1 interacting protein",04810 Regulation of actin cytoskeleton
ko03013,NVE22039,K05749,CYFIP; cytoplasmic FMR1 interacting protein,Genetic Information Processing,Translation,ko03013,"CYFIP, cytoplasmic FMR1 interacting protein",03013 RNA transport
ko04810,NVE22039,K05749,CYFIP; cytoplasmic FMR1 interacting protein,Cellular Processes,Cell motility,ko04810,"CYFIP, cytoplasmic FMR1 interacting protein",04810 Regulation of actin cytoskeleton
ko03013,NVE22037,K05749,CYFIP; cytoplasmic FMR1 interacting protein,Genetic Information Processing,Translation,ko03013,"CYFIP, cytoplasmic FMR1 interacting protein",03013 RNA transport
ko04810,NVE22037,K05749,CYFIP; cytoplasmic FMR1 interacting protein,Cellular Processes,Cell motility,ko04810,"CYFIP, cytoplasmic FMR1 interacting protein",04810 Regulation of actin cytoskeleton
ko04810,NVE14220,K05750,NCKAP1; NCK-associated protein 1,Cellular Processes,Cell motility,ko04810,"NCKAP1, NAP125, NCK-associated protein 1",04810 Regulation of actin cytoskeleton
ko04144,NVE16608,K05754,"ARPC5; actin related protein 2/3 complex, subunit 5",Cellular Processes,Transport and catabolism,ko04144,"ARPC5, actin related protein 2/3",04144 Endocytosis
ko04810,NVE16608,K05754,"ARPC5; actin related protein 2/3 complex, subunit 5",Cellular Processes,Cell motility,ko04810,"ARPC5, actin related protein 2/3",04810 Regulation of actin cytoskeleton
ko04666,NVE16608,K05754,"ARPC5; actin related protein 2/3 complex, subunit 5",Organismal Systems,Immune system,ko04666,"ARPC5, actin related protein 2/3 complex, subunit",04666 Fc gamma R-mediated phagocytosis
ko05130,NVE16608,K05754,"ARPC5; actin related protein 2/3 complex, subunit 5",Human Diseases,Infectious diseases,ko05130,"ARPC5, actin related protein 2/3",05130 Pathogenic Escherichia coli infection
ko05132,NVE16608,K05754,"ARPC5; actin related protein 2/3 complex, subunit 5",Human Diseases,Infectious diseases,ko05132,"ARPC5, actin related protein",05132 Salmonella infection
ko05131,NVE16608,K05754,"ARPC5; actin related protein 2/3 complex, subunit 5",Human Diseases,Infectious diseases,ko05131,"ARPC5, actin related protein 2/3",05131 Shigellosis
ko05100,NVE16608,K05754,"ARPC5; actin related protein 2/3 complex, subunit 5",Human Diseases,Infectious diseases,ko05100,"ARPC5, actin related protein 2/3 complex,",05100 Bacterial invasion of epithelial cells
ko04144,NVE10865,K05755,"ARPC4; actin related protein 2/3 complex, subunit 4",Cellular Processes,Transport and catabolism,ko04144,"ARPC4, actin related protein 2/3",04144 Endocytosis
ko04810,NVE10865,K05755,"ARPC4; actin related protein 2/3 complex, subunit 4",Cellular Processes,Cell motility,ko04810,"ARPC4, actin related protein 2/3",04810 Regulation of actin cytoskeleton
ko04666,NVE10865,K05755,"ARPC4; actin related protein 2/3 complex, subunit 4",Organismal Systems,Immune system,ko04666,"ARPC4, actin related protein 2/3 complex, subunit",04666 Fc gamma R-mediated phagocytosis
ko05130,NVE10865,K05755,"ARPC4; actin related protein 2/3 complex, subunit 4",Human Diseases,Infectious diseases,ko05130,"ARPC4, actin related protein 2/3",05130 Pathogenic Escherichia coli infection
ko05132,NVE10865,K05755,"ARPC4; actin related protein 2/3 complex, subunit 4",Human Diseases,Infectious diseases,ko05132,"ARPC4, actin related protein",05132 Salmonella infection
ko05131,NVE10865,K05755,"ARPC4; actin related protein 2/3 complex, subunit 4",Human Diseases,Infectious diseases,ko05131,"ARPC4, actin related protein 2/3",05131 Shigellosis
ko05100,NVE10865,K05755,"ARPC4; actin related protein 2/3 complex, subunit 4",Human Diseases,Infectious diseases,ko05100,"ARPC4, actin related protein 2/3 complex,",05100 Bacterial invasion of epithelial cells
ko04144,NVE563,K05756,"ARPC3; actin related protein 2/3 complex, subunit 3",Cellular Processes,Transport and catabolism,ko04144,"ARPC3, actin related protein 2/3",04144 Endocytosis
ko04810,NVE563,K05756,"ARPC3; actin related protein 2/3 complex, subunit 3",Cellular Processes,Cell motility,ko04810,"ARPC3, actin related protein 2/3",04810 Regulation of actin cytoskeleton
ko04666,NVE563,K05756,"ARPC3; actin related protein 2/3 complex, subunit 3",Organismal Systems,Immune system,ko04666,"ARPC3, actin related protein 2/3 complex, subunit",04666 Fc gamma R-mediated phagocytosis
ko05130,NVE563,K05756,"ARPC3; actin related protein 2/3 complex, subunit 3",Human Diseases,Infectious diseases,ko05130,"ARPC3, actin related protein 2/3",05130 Pathogenic Escherichia coli infection
ko05132,NVE563,K05756,"ARPC3; actin related protein 2/3 complex, subunit 3",Human Diseases,Infectious diseases,ko05132,"ARPC3, actin related protein",05132 Salmonella infection
ko05131,NVE563,K05756,"ARPC3; actin related protein 2/3 complex, subunit 3",Human Diseases,Infectious diseases,ko05131,"ARPC3, actin related protein 2/3",05131 Shigellosis
ko05100,NVE563,K05756,"ARPC3; actin related protein 2/3 complex, subunit 3",Human Diseases,Infectious diseases,ko05100,"ARPC3, actin related protein 2/3 complex,",05100 Bacterial invasion of epithelial cells
ko04144,NVE17919,K05757,"ARPC1A_B; actin related protein 2/3 complex, subunit 1A/1B",Cellular Processes,Transport and catabolism,ko04144,"ARPC1A_B, actin related protein 2/3",04144 Endocytosis
ko04810,NVE17919,K05757,"ARPC1A_B; actin related protein 2/3 complex, subunit 1A/1B",Cellular Processes,Cell motility,ko04810,"ARPC1A_B, actin related protein 2/3",04810 Regulation of actin cytoskeleton
ko04666,NVE17919,K05757,"ARPC1A_B; actin related protein 2/3 complex, subunit 1A/1B",Organismal Systems,Immune system,ko04666,"ARPC1A_B, actin related protein 2/3 complex, subunit",04666 Fc gamma R-mediated phagocytosis
ko05130,NVE17919,K05757,"ARPC1A_B; actin related protein 2/3 complex, subunit 1A/1B",Human Diseases,Infectious diseases,ko05130,"ARPC1A_B, actin related protein 2/3",05130 Pathogenic Escherichia coli infection
ko05132,NVE17919,K05757,"ARPC1A_B; actin related protein 2/3 complex, subunit 1A/1B",Human Diseases,Infectious diseases,ko05132,"ARPC1A_B, actin related protein",05132 Salmonella infection
ko05131,NVE17919,K05757,"ARPC1A_B; actin related protein 2/3 complex, subunit 1A/1B",Human Diseases,Infectious diseases,ko05131,"ARPC1A_B, actin related protein 2/3",05131 Shigellosis
ko05100,NVE17919,K05757,"ARPC1A_B; actin related protein 2/3 complex, subunit 1A/1B",Human Diseases,Infectious diseases,ko05100,"ARPC1A_B, actin related protein 2/3 complex,",05100 Bacterial invasion of epithelial cells
ko04144,NVE18075,K05758,"ARPC2; actin related protein 2/3 complex, subunit 2",Cellular Processes,Transport and catabolism,ko04144,"ARPC2, actin related protein 2/3",04144 Endocytosis
ko04810,NVE18075,K05758,"ARPC2; actin related protein 2/3 complex, subunit 2",Cellular Processes,Cell motility,ko04810,"ARPC2, actin related protein 2/3",04810 Regulation of actin cytoskeleton
ko04666,NVE18075,K05758,"ARPC2; actin related protein 2/3 complex, subunit 2",Organismal Systems,Immune system,ko04666,"ARPC2, actin related protein 2/3 complex, subunit",04666 Fc gamma R-mediated phagocytosis
ko05130,NVE18075,K05758,"ARPC2; actin related protein 2/3 complex, subunit 2",Human Diseases,Infectious diseases,ko05130,"ARPC2, actin related protein 2/3",05130 Pathogenic Escherichia coli infection
ko05132,NVE18075,K05758,"ARPC2; actin related protein 2/3 complex, subunit 2",Human Diseases,Infectious diseases,ko05132,"ARPC2, actin related protein",05132 Salmonella infection
ko05131,NVE18075,K05758,"ARPC2; actin related protein 2/3 complex, subunit 2",Human Diseases,Infectious diseases,ko05131,"ARPC2, actin related protein 2/3",05131 Shigellosis
ko05100,NVE18075,K05758,"ARPC2; actin related protein 2/3 complex, subunit 2",Human Diseases,Infectious diseases,ko05100,"ARPC2, actin related protein 2/3 complex,",05100 Bacterial invasion of epithelial cells
ko04015,NVE5911,K05759,PFN; profilin,Environmental Information Processing,Signal transduction,ko04015,"PFN, profilin",04015 Rap1 signaling pathway
ko04013,NVE5911,K05759,PFN; profilin,Environmental Information Processing,Signal transduction,ko04013,"PFN, profilin",04013 MAPK signaling pathway - fly
ko04810,NVE5911,K05759,PFN; profilin,Cellular Processes,Cell motility,ko04810,"PFN, profilin",04810 Regulation of actin cytoskeleton
ko05132,NVE5911,K05759,PFN; profilin,Human Diseases,Infectious diseases,ko05132,"PFN, profilin",05132 Salmonella infection
ko05131,NVE5911,K05759,PFN; profilin,Human Diseases,Infectious diseases,ko05131,"PFN, profilin",05131 Shigellosis
ko04015,NVE10189,K05759,PFN; profilin,Environmental Information Processing,Signal transduction,ko04015,"PFN, profilin",04015 Rap1 signaling pathway
ko04013,NVE10189,K05759,PFN; profilin,Environmental Information Processing,Signal transduction,ko04013,"PFN, profilin",04013 MAPK signaling pathway - fly
ko04810,NVE10189,K05759,PFN; profilin,Cellular Processes,Cell motility,ko04810,"PFN, profilin",04810 Regulation of actin cytoskeleton
ko05132,NVE10189,K05759,PFN; profilin,Human Diseases,Infectious diseases,ko05132,"PFN, profilin",05132 Salmonella infection
ko05131,NVE10189,K05759,PFN; profilin,Human Diseases,Infectious diseases,ko05131,"PFN, profilin",05131 Shigellosis
ko04015,NVE23672,K05759,PFN; profilin,Environmental Information Processing,Signal transduction,ko04015,"PFN, profilin",04015 Rap1 signaling pathway
ko04013,NVE23672,K05759,PFN; profilin,Environmental Information Processing,Signal transduction,ko04013,"PFN, profilin",04013 MAPK signaling pathway - fly
ko04810,NVE23672,K05759,PFN; profilin,Cellular Processes,Cell motility,ko04810,"PFN, profilin",04810 Regulation of actin cytoskeleton
ko05132,NVE23672,K05759,PFN; profilin,Human Diseases,Infectious diseases,ko05132,"PFN, profilin",05132 Salmonella infection
ko05131,NVE23672,K05759,PFN; profilin,Human Diseases,Infectious diseases,ko05131,"PFN, profilin",05131 Shigellosis
ko04015,NVE1731,K05759,PFN; profilin,Environmental Information Processing,Signal transduction,ko04015,"PFN, profilin",04015 Rap1 signaling pathway
ko04013,NVE1731,K05759,PFN; profilin,Environmental Information Processing,Signal transduction,ko04013,"PFN, profilin",04013 MAPK signaling pathway - fly
ko04810,NVE1731,K05759,PFN; profilin,Cellular Processes,Cell motility,ko04810,"PFN, profilin",04810 Regulation of actin cytoskeleton
ko05132,NVE1731,K05759,PFN; profilin,Human Diseases,Infectious diseases,ko05132,"PFN, profilin",05132 Salmonella infection
ko05131,NVE1731,K05759,PFN; profilin,Human Diseases,Infectious diseases,ko05131,"PFN, profilin",05131 Shigellosis
ko04370,NVE23312,K05760,PXN; paxillin,Environmental Information Processing,Signal transduction,ko04370,"PXN, paxillin",04370 VEGF signaling pathway
ko04510,NVE23312,K05760,PXN; paxillin,Cellular Processes,Cellular community - eukaryotes,ko04510,"PXN, paxillin",04510 Focal adhesion
ko04810,NVE23312,K05760,PXN; paxillin,Cellular Processes,Cell motility,ko04810,"PXN, paxillin",04810 Regulation of actin cytoskeleton
ko04670,NVE23312,K05760,PXN; paxillin,Organismal Systems,Immune system,ko04670,"PXN, paxillin",04670 Leukocyte transendothelial migration
ko04062,NVE23312,K05760,PXN; paxillin,Organismal Systems,Immune system,ko04062,"PXN, paxillin",04062 Chemokine signaling pathway
ko05205,NVE23312,K05760,PXN; paxillin,Human Diseases,Cancers,ko05205,"PXN, paxillin",05205 Proteoglycans in cancer
ko05203,NVE23312,K05760,PXN; paxillin,Human Diseases,Cancers,ko05203,"PXN, paxillin",05203 Viral carcinogenesis
ko05100,NVE23312,K05760,PXN; paxillin,Human Diseases,Infectious diseases,ko05100,"PXN, paxillin",05100 Bacterial invasion of epithelial cells
ko04530,NVE4637,K05763,MSN; moesin,Cellular Processes,Cellular community - eukaryotes,ko04530,"MSN, moesin",04530 Tight junction
ko04810,NVE4637,K05763,MSN; moesin,Cellular Processes,Cell motility,ko04810,"MSN, moesin",04810 Regulation of actin cytoskeleton
ko04670,NVE4637,K05763,MSN; moesin,Organismal Systems,Immune system,ko04670,"MSN, moesin",04670 Leukocyte transendothelial migration
ko05205,NVE4637,K05763,MSN; moesin,Human Diseases,Cancers,ko05205,"MSN, moesin",05205 Proteoglycans in cancer
ko05162,NVE4637,K05763,MSN; moesin,Human Diseases,Infectious diseases,ko05162,"MSN, moesin",05162 Measles
ko04530,NVE15896,K05763,MSN; moesin,Cellular Processes,Cellular community - eukaryotes,ko04530,"MSN, moesin",04530 Tight junction
ko04810,NVE15896,K05763,MSN; moesin,Cellular Processes,Cell motility,ko04810,"MSN, moesin",04810 Regulation of actin cytoskeleton
ko04670,NVE15896,K05763,MSN; moesin,Organismal Systems,Immune system,ko04670,"MSN, moesin",04670 Leukocyte transendothelial migration
ko05205,NVE15896,K05763,MSN; moesin,Human Diseases,Cancers,ko05205,"MSN, moesin",05205 Proteoglycans in cancer
ko05162,NVE15896,K05763,MSN; moesin,Human Diseases,Infectious diseases,ko05162,"MSN, moesin",05162 Measles
ko04810,NVE18506,K05765,CFL; cofilin,Cellular Processes,Cell motility,ko04810,"CFL, cofilin",04810 Regulation of actin cytoskeleton
ko04666,NVE18506,K05765,CFL; cofilin,Organismal Systems,Immune system,ko04666,"CFL, cofilin",04666 Fc gamma R-mediated phagocytosis
ko04360,NVE18506,K05765,CFL; cofilin,Organismal Systems,Development,ko04360,"CFL, cofilin",04360 Axon guidance
ko05133,NVE18506,K05765,CFL; cofilin,Human Diseases,Infectious diseases,ko05133,"CFL, cofilin",05133 Pertussis
ko04810,NVE2539,K05765,CFL; cofilin,Cellular Processes,Cell motility,ko04810,"CFL, cofilin",04810 Regulation of actin cytoskeleton
ko04666,NVE2539,K05765,CFL; cofilin,Organismal Systems,Immune system,ko04666,"CFL, cofilin",04666 Fc gamma R-mediated phagocytosis
ko04360,NVE2539,K05765,CFL; cofilin,Organismal Systems,Development,ko04360,"CFL, cofilin",04360 Axon guidance
ko05133,NVE2539,K05765,CFL; cofilin,Human Diseases,Infectious diseases,ko05133,"CFL, cofilin",05133 Pertussis
ko04810,NVE10746,K05765,CFL; cofilin,Cellular Processes,Cell motility,ko04810,"CFL, cofilin",04810 Regulation of actin cytoskeleton
ko04666,NVE10746,K05765,CFL; cofilin,Organismal Systems,Immune system,ko04666,"CFL, cofilin",04666 Fc gamma R-mediated phagocytosis
ko04360,NVE10746,K05765,CFL; cofilin,Organismal Systems,Development,ko04360,"CFL, cofilin",04360 Axon guidance
ko05133,NVE10746,K05765,CFL; cofilin,Human Diseases,Infectious diseases,ko05133,"CFL, cofilin",05133 Pertussis
ko04810,NVE2557,K05765,CFL; cofilin,Cellular Processes,Cell motility,ko04810,"CFL, cofilin",04810 Regulation of actin cytoskeleton
ko04666,NVE2557,K05765,CFL; cofilin,Organismal Systems,Immune system,ko04666,"CFL, cofilin",04666 Fc gamma R-mediated phagocytosis
ko04360,NVE2557,K05765,CFL; cofilin,Organismal Systems,Development,ko04360,"CFL, cofilin",04360 Axon guidance
ko05133,NVE2557,K05765,CFL; cofilin,Human Diseases,Infectious diseases,ko05133,"CFL, cofilin",05133 Pertussis
ko04810,NVE23181,K05765,CFL; cofilin,Cellular Processes,Cell motility,ko04810,"CFL, cofilin",04810 Regulation of actin cytoskeleton
ko04666,NVE23181,K05765,CFL; cofilin,Organismal Systems,Immune system,ko04666,"CFL, cofilin",04666 Fc gamma R-mediated phagocytosis
ko04360,NVE23181,K05765,CFL; cofilin,Organismal Systems,Development,ko04360,"CFL, cofilin",04360 Axon guidance
ko05133,NVE23181,K05765,CFL; cofilin,Human Diseases,Infectious diseases,ko05133,"CFL, cofilin",05133 Pertussis
ko04810,NVE18508,K05765,CFL; cofilin,Cellular Processes,Cell motility,ko04810,"CFL, cofilin",04810 Regulation of actin cytoskeleton
ko04666,NVE18508,K05765,CFL; cofilin,Organismal Systems,Immune system,ko04666,"CFL, cofilin",04666 Fc gamma R-mediated phagocytosis
ko04360,NVE18508,K05765,CFL; cofilin,Organismal Systems,Development,ko04360,"CFL, cofilin",04360 Axon guidance
ko05133,NVE18508,K05765,CFL; cofilin,Human Diseases,Infectious diseases,ko05133,"CFL, cofilin",05133 Pertussis
ko04810,NVE6986,K05765,,Cellular Processes,Cell motility,ko04810,"CFL, cofilin",04810 Regulation of actin cytoskeleton
ko04666,NVE6986,K05765,,Organismal Systems,Immune system,ko04666,"CFL, cofilin",04666 Fc gamma R-mediated phagocytosis
