cluster,KO,Description
NVE1708,,
NVE10673,,
NVE18416,,
NVE8527,,
NVE14445,,
NVE17173,,
NVE6334,,
NVE5801,,
NVE14265,K02912,RP-L32e; large subunit ribosomal protein L32e
NVE14859,,
NVE8690,,
NVE8458,,
NVE17827,,
NVE23058,,
NVE9669,,
NVE2236,,
NVE10519,,
NVE13619,,
NVE20055,,
NVE25132,,
NVE13057,,
NVE21221,K07937,ARF1; ADP-ribosylation factor 1
NVE20732,K09067,ASCL; achaete-scute complex protein
NVE23811,,
NVE7771,,
NVE25527,,
NVE1054,,
NVE19746,,
NVE22441,,
NVE21241,,
NVE20738,,
NVE15266,,
NVE3446,K07253,MIF; phenylpyruvate tautomerase [EC:5.3.2.1]
NVE19686,K13221,WDR77; methylosome protein 50
NVE24450,,
NVE9902,,
NVE6658,K10413,
NVE5296,K12833,SF3B14; pre-mRNA branch site protein p14
NVE18134,,
NVE22990,,
NVE16048,,
NVE9845,K03952,NDUFA8; NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 8
NVE16961,,
NVE22296,,
NVE1207,,
NVE23672,K05759,PFN; profilin
NVE23380,,
NVE5003,K12845,SNU13; U4/U6 small nuclear ribonucleoprotein SNU13
NVE25618,,
NVE17421,,
NVE17509,,
NVE12128,,
NVE630,,
NVE24348,K14773,UTP23; U3 small nucleolar RNA-associated protein 23
NVE2159,,
NVE24720,,
NVE22080,K08491,STX17; syntaxin 17
NVE19632,,
NVE12177,K02503,HINT1; histidine triad (HIT) family protein
NVE22636,,
NVE23495,K17608,STRN1_3_4; striatin 1/3/4
NVE12273,,
NVE8324,K06975,uncharacterized protein
NVE22435,,
NVE18084,,
NVE20124,,
NVE22353,K11254,H4; histone H4
NVE17035,,
NVE13118,,
NVE605,,
NVE16537,,
NVE9195,K01047,PLA2G; secretory phospholipase A2 [EC:3.1.1.4]
NVE12879,K02976,RP-S26e; small subunit ribosomal protein S26e
NVE10463,,
NVE5094,,
NVE8525,,
NVE26087,,
NVE5440,,
NVE15445,K17632,
NVE25077,,
NVE6170,,
NVE23119,,
NVE24761,K11251,H2A; histone H2A
NVE11296,,
NVE12319,,
NVE20649,,
NVE17795,K12184,VPS28; ESCRT-I complex subunit VPS28
NVE1543,,
NVE1888,K07466,RFA1; replication factor A1
NVE22329,,
NVE5229,K11252,H2B; histone H2B
NVE23231,,
NVE17762,,
NVE1710,,
NVE10602,K02918,RP-L35e; large subunit ribosomal protein L35e
NVE24041,K11252,H2B; histone H2B
NVE4273,,
NVE19266,,
NVE24513,,
NVE7125,,
NVE17046,,
NVE2591,,
NVE8793,,
NVE16684,K22390,ACP7; acid phosphatase type 7
NVE759,,
NVE2715,,
NVE22436,,
NVE2828,,
NVE11018,K16581,TPGS1; tubulin polyglutamylase complex subunit 1
NVE2327,,
NVE7138,,
NVE11361,,
NVE3909,K08827,PRPF4B; serine/threonine-protein kinase PRP4 [EC:2.7.11.1]
NVE6346,,
NVE5783,,
NVE18349,K17553,PPP1R11; protein phosphatase 1 regulatory subunit 11
NVE25024,,
NVE14867,,
NVE9411,K11656,CHRAC1; chromatin accessibility complex protein 1
NVE16860,,
NVE11141,,
NVE18833,,
NVE1999,K04554,UBE2J2; ubiquitin-conjugating enzyme E2 J2 [EC:2.3.2.23]
NVE26115,K06172,APH1A; gamma-secretase subunit APH-1A
NVE20493,K12233,HECTD3; E3 ubiquitin-protein ligase HECTD3 [EC:2.3.2.26]
NVE21957,K16904,DCTPP1; dCTP diphosphatase [EC:3.6.1.12]
NVE11238,,
NVE20747,K08341,GABARAP; GABA(A) receptor-associated protein
NVE3822,,
NVE7790,,
NVE17052,,
NVE23166,K19328,SYT14_16; synaptotagmin-14/16
NVE680,K00106,
NVE9662,K11436,PRMT3; type I protein arginine methyltransferase [EC:2.1.1.319]
NVE9450,K02908,RP-L30e; large subunit ribosomal protein L30e
NVE21337,K10712,ADO; cysteamine dioxygenase [EC:1.13.11.19]
NVE21486,,
NVE8803,K06711,PH-4; hypoxia-inducible factor prolyl 4-hydroxylase [EC:1.14.11.-]
NVE7881,,
NVE4304,,
NVE22276,K01758,CTH; cystathionine gamma-lyase [EC:4.4.1.1]
NVE11167,,
NVE17991,,
NVE17275,,
NVE14724,,
NVE18498,,
NVE16036,,
NVE8521,,
NVE12792,,
NVE19778,,
NVE15411,,
NVE8163,,
NVE4863,,
NVE19302,K11253,H3; histone H3
NVE6292,,
NVE17912,K13618,PLA1A; phospholipase A1 member A [EC:3.1.1.-]
NVE19339,,
NVE23237,,
NVE12694,K16601,TTLL4; tubulin polyglutamylase TTLL4 [EC:6.-.-.-]
NVE20667,,
NVE22785,,
NVE581,,
NVE2882,,
NVE8380,,
NVE18887,,
NVE3520,,
NVE20623,,
NVE14545,K02183,CALM; calmodulin
NVE20276,,
NVE25157,,
NVE16689,,
NVE4630,,
NVE12310,,
NVE23490,,
NVE5580,,
NVE15549,,
NVE3098,,
NVE22204,,
NVE2486,,
NVE1067,,
NVE15409,K00149,ALDH9A1; aldehyde dehydrogenase family 9 member A1 [EC:1.2.1.47 1.2.1.3]
NVE21590,,
NVE20216,,
NVE18947,,
NVE14296,,
NVE24976,,
NVE23760,,
NVE17256,,
NVE11232,,
NVE3821,,
NVE24078,,
NVE23146,,
NVE409,,
NVE23852,,
NVE5235,K17433,MRPL52; large subunit ribosomal protein L52
NVE20834,,
NVE4559,,
NVE7162,,
NVE450,,
NVE25400,,
NVE13307,K07393,ECM4; glutathionyl-hydroquinone reductase [EC:1.8.5.7]
NVE935,,
NVE14864,,
NVE2907,,
NVE4346,,
NVE19880,,
NVE12371,,
NVE21317,,
NVE2432,,
NVE15697,,
NVE15127,,
NVE25901,,
NVE22948,,
NVE15075,K12834,PHF5A; PHD finger-like domain-containing protein 5A
NVE14570,,
NVE21401,,
NVE16265,,
NVE6233,,
NVE22662,,
NVE22105,,
NVE6393,,
NVE17200,,
NVE993,,
NVE13150,K03671,trxA; thioredoxin 1
NVE3924,,
NVE9220,,
NVE3233,,
NVE16570,K01081,E3.1.3.5; 5'-nucleotidase [EC:3.1.3.5]
NVE4401,,
NVE24562,K04556,PARK2; parkin [EC:2.3.2.31]
NVE11935,K13990,FTCD; glutamate formiminotransferase / formiminotetrahydrofolate cyclodeaminase [EC:2.1.2.5 4.3.1.4]
NVE22840,,
NVE7155,K02873,RP-L13e; large subunit ribosomal protein L13e
NVE8846,,
NVE12132,,
NVE15195,K00799,GST; glutathione S-transferase [EC:2.5.1.18]
NVE8263,,
NVE14305,,
NVE18827,,
NVE17547,,
NVE1866,,
NVE13729,,
NVE18195,,
NVE13627,,
NVE21677,,
NVE13628,K03691,POFUT; peptide-O-fucosyltransferase [EC:2.4.1.221]
NVE18707,,
NVE2353,,
NVE24689,,
NVE4289,,
NVE3961,,
NVE13453,,
NVE6816,,
NVE6353,,
NVE8756,,
NVE4015,,
NVE24067,K03652,MPG; DNA-3-methyladenine glycosylase [EC:3.2.2.21]
NVE3243,,
NVE19317,,
NVE13033,,
NVE25738,,
NVE5135,,
NVE25541,K00416,QCR6; ubiquinol-cytochrome c reductase subunit 6
NVE25219,,
NVE4004,,
NVE18859,K00939,adk; adenylate kinase [EC:2.7.4.3]
NVE13087,,
NVE19874,,
NVE14101,,
NVE12767,,
NVE21333,,
NVE2525,,
NVE12014,,
NVE11488,,
NVE12308,,
NVE458,,
NVE8715,,
NVE12508,,
NVE17383,,
NVE478,,
NVE17207,,
NVE11660,K10408,
NVE8689,,
NVE16282,,
NVE477,,
NVE2507,K02922,RP-L37e; large subunit ribosomal protein L37e
NVE11146,,
NVE2656,,
NVE6856,,
NVE5012,,
NVE24098,,
NVE9526,,
NVE2523,,
NVE9751,,
NVE15121,,
NVE4379,,
NVE995,,
NVE16275,,
NVE20930,,
NVE14638,,
NVE26059,,
NVE15286,,
NVE17243,,
NVE24227,,
NVE18436,,
NVE5354,,
NVE9743,,
NVE2746,,
NVE21336,,
NVE25801,,
NVE10232,,
NVE15091,,
NVE5416,,
NVE10831,K02961,RP-S17; small subunit ribosomal protein S17
NVE13570,,
NVE12017,,
NVE7322,,
NVE23589,K04796,RUXX; small nuclear ribonucleoprotein
NVE8343,,
NVE18990,K04078,groES; chaperonin GroES
NVE4625,,
NVE21973,,
NVE8757,,
NVE414,,
NVE7179,,
NVE22773,,
NVE4504,,
NVE26175,,
NVE16955,,
NVE1647,,
NVE8166,,
NVE7588,,
NVE19767,,
NVE15099,,
NVE3812,,
NVE1084,,
NVE17060,K02990,RP-S6; small subunit ribosomal protein S6
NVE8403,,
NVE15235,K00939,
NVE9632,,
NVE13654,,
NVE6419,,
NVE17737,,
NVE10347,,
NVE22542,,
NVE22563,,
NVE5759,,
NVE23777,,
NVE23270,K02867,RP-L11; large subunit ribosomal protein L11
NVE12870,,
NVE21607,,
NVE25180,,
NVE14656,,
NVE9714,,
NVE3254,,
NVE12294,,
NVE4795,,
NVE7680,,
NVE7424,K12343,SRD5A1; 3-oxo-5-alpha-steroid 4-dehydrogenase 1 [EC:1.3.1.22]
NVE14176,,
NVE14812,,
NVE12631,,
NVE14333,,
NVE709,,
NVE19127,,
NVE1721,,
NVE19258,,
NVE15855,,
NVE1612,,
NVE10359,,
NVE16500,,
NVE6160,,
NVE14878,,
NVE9049,,
NVE21561,,
NVE480,,
NVE11950,,
NVE399,,
NVE21141,,
NVE3215,K04960,
NVE9721,,
NVE3883,,
NVE470,,
NVE1247,K06271,
NVE1039,,
NVE6249,,
NVE3475,,
NVE8369,,
NVE2938,,
NVE23785,,
NVE15518,,
NVE7498,,
NVE7484,,
NVE1500,,
NVE122,,
NVE20361,,
NVE11669,,
NVE20752,,
NVE22033,,
NVE24822,,
NVE11097,,
NVE6478,,
NVE17660,,
NVE12719,,
NVE19212,,
NVE5297,,
NVE4749,,
NVE18982,,
NVE7707,,
NVE2839,,
NVE10385,,
NVE1147,,
NVE24092,,
NVE12887,,
NVE206,,
NVE19112,,
NVE21746,,
NVE12099,,
NVE13874,,
NVE24634,,
NVE3544,,
NVE21511,,
NVE4007,,
NVE10206,,
NVE20880,,
NVE697,,
NVE7513,,
NVE8832,,
NVE18690,,
NVE17625,,
NVE3052,,
NVE15182,,
NVE21903,,
NVE24958,,
NVE16029,,
NVE18726,,
NVE881,,
NVE3650,,
NVE15023,,
NVE15470,,
NVE357,,
NVE2754,,
NVE8859,,
NVE4951,,
NVE8015,,
NVE21720,,
NVE20533,,
NVE12357,,
NVE2316,K18890,"mdlB; ATP-binding cassette, subfamily B, multidrug efflux pump"
NVE14137,,
NVE19796,,
NVE7060,,
NVE305,,
NVE96,,
NVE20949,,
NVE4123,K13525,VCP; transitional endoplasmic reticulum ATPase
NVE9699,,
NVE7262,,
NVE14872,,
NVE6402,,
NVE15703,,
NVE12339,,
NVE13158,,
NVE26109,,
NVE20444,,
NVE18530,,
NVE19482,,
NVE5386,,
NVE11835,,
NVE13976,,
NVE5347,,
NVE15479,K18890,"mdlB; ATP-binding cassette, subfamily B, multidrug efflux pump"
NVE24059,,
NVE23788,,
NVE7632,,
NVE7300,,
NVE19587,,
NVE13812,,
NVE20484,,
NVE23860,,
NVE14715,,
NVE21289,,
NVE24382,,
NVE13879,,
NVE22429,,
NVE11493,,
NVE3703,,
NVE21765,,
NVE3529,,
NVE21501,,
NVE18356,,
NVE25818,,
NVE18372,,
NVE20605,,
NVE3514,,
NVE3460,,
NVE2955,,
NVE22150,,
NVE8052,K06147,"ABCB-BAC; ATP-binding cassette, subfamily B, bacterial"
NVE23741,,
NVE15352,,
NVE13175,,
NVE13860,,
NVE19786,,
NVE22215,,
NVE23474,,
NVE325,,
NVE1886,,
NVE14120,,
NVE10315,,
NVE10321,,
NVE10722,,
NVE8251,,
NVE6338,,
NVE20188,,
NVE9575,,
NVE12207,,
NVE11388,,
NVE13245,,
NVE10854,,
NVE10874,,
NVE13091,,
NVE6130,,
NVE6226,,
NVE25712,,
NVE4973,,
NVE26084,,
NVE25312,,
NVE20577,,
NVE22986,,
NVE11783,,
NVE7761,,
NVE23802,,
NVE21447,,
NVE359,,
NVE2099,,
NVE5837,,
NVE9264,,
NVE22444,K01958,PC; pyruvate carboxylase [EC:6.4.1.1]
NVE10256,K03654,recQ; ATP-dependent DNA helicase RecQ [EC:3.6.4.12]
NVE25717,,
NVE7356,,
NVE22445,K01958,PC; pyruvate carboxylase [EC:6.4.1.1]
NVE1551,,
NVE21459,K03234,EEF2; elongation factor 2
NVE725,,
NVE18520,,
NVE4234,,
NVE8372,,
NVE25284,,
NVE9607,,
NVE20104,,
NVE11630,,
NVE11287,,
NVE16461,,
NVE21706,,
NVE13145,,
NVE8625,,
NVE21273,,
NVE7195,,
NVE8286,,
NVE4960,,
NVE6159,,
NVE11344,,
NVE20291,,
NVE12828,,
NVE16653,,
NVE9524,,
NVE2241,,
NVE15117,,
NVE19210,,
NVE15439,,
NVE25288,,
NVE18731,,
NVE6225,,
NVE6201,,
NVE9486,,
NVE8385,,
NVE16090,,
NVE19186,,
NVE4735,,
NVE20404,,
NVE5893,,
NVE1777,,
NVE9730,,
NVE20097,,
NVE11645,,
NVE16423,K02319,"pol; DNA polymerase, archaea type [EC:2.7.7.7]"
NVE283,,
NVE17004,,
NVE17393,,
NVE15788,,
NVE18518,,
NVE12935,K10356,
NVE19295,,
NVE3034,,
NVE15647,,
NVE567,K08052,
NVE8247,,
NVE21752,,
NVE13530,,
NVE25882,,
NVE7022,,
NVE3365,K12132,prkC; eukaryotic-like serine/threonine-protein kinase [EC:2.7.11.1]
NVE5700,K01539,ATP1A; sodium/potassium-transporting ATPase subunit alpha [EC:3.6.3.9]
NVE15304,,
NVE21671,,
NVE16982,,
NVE101,,
NVE23173,,
NVE13348,,
NVE21745,,
NVE21503,K00922,
NVE7949,K04043,dnaK; molecular chaperone DnaK
NVE6561,,
NVE14816,,
NVE6753,,
NVE3400,,
NVE24301,,
NVE15451,,
NVE13595,,
NVE16254,,
NVE25761,,
NVE16324,,
NVE19233,,
NVE21519,,
NVE12844,,
NVE19160,,
NVE16985,,
NVE11825,K13798,rpoB; DNA-directed RNA polymerase subunit B [EC:2.7.7.6]
NVE18320,,
NVE15773,,
NVE20788,,
NVE20938,,
NVE24674,,
NVE10862,,
NVE4826,,
NVE15074,,
NVE22263,,
NVE17097,,
NVE7489,,
NVE14620,,
NVE9101,,
NVE19606,,
NVE21862,,
NVE6222,,
NVE14221,,
NVE5589,,
NVE1138,K01669,phrB; deoxyribodipyrimidine photo-lyase [EC:4.1.99.3]
NVE21411,,
NVE3439,K03578,hrpA; ATP-dependent helicase HrpA [EC:3.6.4.13]
NVE8397,,
NVE10338,,
NVE7309,,
NVE13800,K03581,recD; exodeoxyribonuclease V alpha subunit [EC:3.1.11.5]
NVE9773,,
NVE4706,K10896,FANCM; fanconi anemia group M protein
NVE13571,,
NVE5056,,
NVE15129,,
NVE6275,,
NVE14857,,
NVE25683,,
NVE10000,,
NVE2002,,
NVE23830,,
NVE13564,,
NVE20134,,
NVE25657,K06240,
NVE11944,,
NVE9326,,
NVE6294,,
NVE2093,,
NVE19978,,
NVE17688,,
NVE8312,,
NVE19126,,
NVE25348,,
NVE8168,,
NVE15676,,
NVE3596,,
NVE4331,,
NVE21059,,
NVE15728,,
NVE14748,K01990,ABC-2.A; ABC-2 type transport system ATP-binding protein
NVE9375,,
NVE20152,,
NVE4296,K00021,HMGCR; hydroxymethylglutaryl-CoA reductase (NADPH) [EC:1.1.1.34]
NVE20132,,
NVE23953,,
NVE23042,,
NVE10812,,
NVE22722,,
NVE14808,,
NVE22154,,
NVE25198,,
NVE5200,K01872,AARS; alanyl-tRNA synthetase [EC:6.1.1.7]
NVE4083,,
NVE5442,,
NVE22169,,
NVE1170,,
NVE11592,,
NVE13152,,
NVE9495,,
NVE3612,,
NVE17722,,
NVE18925,K01886,QARS; glutaminyl-tRNA synthetase [EC:6.1.1.18]
NVE25455,,
NVE12943,,
NVE11427,,
NVE25964,,
NVE5886,,
NVE13397,,
NVE9648,,
NVE2200,,
NVE4970,,
NVE254,,
NVE11352,,
NVE19938,,
NVE14930,,
NVE24807,,
NVE17841,,
NVE8353,,
NVE14621,K11715,
NVE602,,
NVE12193,,
NVE4667,,
NVE11583,,
NVE16594,,
NVE12627,K03028,
NVE25725,,
NVE6136,,
NVE10044,,
NVE25767,,
NVE24202,,
NVE22174,,
NVE12752,,
NVE21914,,
NVE16425,,
NVE11508,,
NVE9641,,
NVE10529,,
NVE12907,,
NVE7870,,
NVE794,,
NVE403,,
NVE25320,,
NVE17914,,
NVE22155,,
NVE8178,K00525,E1.17.4.1A; ribonucleoside-diphosphate reductase alpha chain [EC:1.17.4.1]
NVE22018,K12132,prkC; eukaryotic-like serine/threonine-protein kinase [EC:2.7.11.1]
NVE23844,,
NVE12495,K12373,HEXA_B; hexosaminidase [EC:3.2.1.52]
NVE13435,,
NVE4178,,
NVE805,,
NVE6623,,
NVE18232,,
NVE18151,,
NVE11129,,
NVE22735,,
NVE11819,,
NVE1155,K13525,VCP; transitional endoplasmic reticulum ATPase
NVE12094,K03234,EEF2; elongation factor 2
NVE10354,K12132,prkC; eukaryotic-like serine/threonine-protein kinase [EC:2.7.11.1]
NVE12547,,
NVE10417,,
NVE1559,K01349,
NVE20122,,
NVE15175,,
NVE16174,,
NVE8983,,
NVE8087,,
NVE17579,,
NVE23547,,
NVE6848,,
NVE12728,,
NVE16408,,
NVE5008,,
NVE1342,,
NVE1686,,
NVE13077,,
NVE9323,,
NVE1362,,
NVE14728,,
NVE1597,,
NVE9293,,
NVE1637,,
NVE2709,,
NVE8323,K08673,
NVE11714,K20071,
NVE9736,K10726,mcm; replicative DNA helicase Mcm [EC:3.6.4.-]
NVE15351,,
NVE18294,,
NVE20666,,
NVE14070,,
NVE14182,,
NVE22534,,
NVE5281,,
NVE15892,,
NVE25416,,
NVE16162,,
NVE13703,,
NVE16512,,
NVE957,,
NVE19644,,
NVE17456,,
NVE8856,,
NVE18979,K07151,STT3; dolichyl-diphosphooligosaccharide---protein glycosyltransferase [EC:2.4.99.18]
NVE4905,,
NVE10433,,
NVE4515,,
NVE14312,K19246,loxA; arachidonate 15-lipoxygenase [EC:1.13.11.33]
NVE23586,,
NVE856,,
NVE3406,,
NVE2535,,
NVE106,,
NVE22995,,
NVE2900,,
NVE21545,,
NVE14649,,
NVE10249,K03316,"TC.CPA1; monovalent cation:H+ antiporter, CPA1 family"
NVE1394,K00147,proA; glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41]
NVE18920,,
NVE16243,,
NVE22315,,
NVE14675,,
NVE23123,,
NVE68,,
NVE24099,,
NVE19098,K07140,uncharacterized protein
NVE21609,,
NVE9044,,
NVE830,,
NVE7268,,
NVE5779,,
NVE13828,,
NVE11748,,
NVE9812,,
NVE2561,,
NVE1992,,
NVE17996,,
NVE10414,,
NVE12486,,
NVE13774,,
NVE11716,,
NVE14411,,
NVE2912,,
NVE17605,,
NVE23257,K01958,PC; pyruvate carboxylase [EC:6.4.1.1]
NVE19091,,
NVE5569,,
NVE6087,,
NVE351,,
NVE21888,,
NVE8179,,
NVE9732,,
NVE16343,,
NVE20512,,
NVE9983,,
NVE10962,,
NVE9231,,
NVE23870,K07386,pepO; putative endopeptidase [EC:3.4.24.-]
NVE240,,
NVE5558,,
NVE25751,,
NVE6318,,
NVE23324,,
NVE9977,,
NVE3560,,
NVE2280,,
NVE19849,,
NVE18931,,
NVE18093,,
NVE17119,,
NVE11071,,
NVE14869,,
NVE23800,,
NVE19134,,
NVE4375,,
NVE2921,K03215,rumA; 23S rRNA (uracil1939-C5)-methyltransferase [EC:2.1.1.190]
NVE7644,K03163,TOP1; DNA topoisomerase I [EC:5.99.1.2]
NVE18022,,
NVE20217,,
NVE17368,,
NVE11650,,
NVE16464,,
NVE17782,,
NVE8974,,
NVE7628,,
NVE25875,K12132,prkC; eukaryotic-like serine/threonine-protein kinase [EC:2.7.11.1]
NVE3357,,
NVE21623,,
NVE20884,,
NVE11774,K19246,loxA; arachidonate 15-lipoxygenase [EC:1.13.11.33]
NVE16614,,
NVE11197,,
NVE24081,,
NVE565,,
NVE20751,,
NVE7775,,
NVE15821,,
NVE24618,,
NVE4814,,
NVE10165,K11688,dctP; C4-dicarboxylate-binding protein DctP
NVE4124,,
NVE4520,,
NVE7731,,
NVE5956,,
NVE16548,,
NVE7075,,
NVE16449,,
NVE19354,,
NVE212,,
NVE9890,,
NVE95,,
NVE15969,K06978,uncharacterized protein
NVE937,,
NVE21346,,
NVE20646,,
NVE9148,,
NVE154,,
NVE2172,K04043,dnaK; molecular chaperone DnaK
NVE20037,,
NVE20974,,
NVE17284,,
NVE14632,,
NVE866,,
NVE1483,,
NVE13611,,
NVE8833,K07041,uncharacterized protein
NVE9443,K07151,STT3; dolichyl-diphosphooligosaccharide---protein glycosyltransferase [EC:2.4.99.18]
NVE13973,,
NVE21158,,
NVE223,,
NVE513,,
NVE21439,,
NVE4114,,
NVE22955,K01897,ACSL; long-chain acyl-CoA synthetase [EC:6.2.1.3]
NVE7546,,
NVE18616,,
NVE24037,K04403,
NVE12301,,
NVE12140,,
NVE16791,,
NVE715,,
NVE14390,K03929,pnbA; para-nitrobenzyl esterase [EC:3.1.1.-]
NVE20365,K01873,VARS; valyl-tRNA synthetase [EC:6.1.1.9]
NVE17409,,
NVE10715,,
NVE9513,,
NVE22594,,
NVE24385,,
NVE15437,K15449,TYW1; tRNA wybutosine-synthesizing protein 1 [EC:4.1.3.44]
NVE25078,,
NVE16567,K03168,topA; DNA topoisomerase I [EC:5.99.1.2]
NVE8204,,
NVE25308,K12132,prkC; eukaryotic-like serine/threonine-protein kinase [EC:2.7.11.1]
NVE5648,,
NVE14047,,
NVE3318,,
NVE21313,,
NVE14657,,
NVE25481,,
NVE25605,,
NVE6973,,
NVE18244,,
NVE22719,,
NVE8250,,
NVE5953,,
NVE16527,,
NVE3609,,
NVE14028,,
NVE8886,K10798,PARP; poly [ADP-ribose] polymerase [EC:2.4.2.30]
NVE26077,K07041,uncharacterized protein
NVE5560,K12132,prkC; eukaryotic-like serine/threonine-protein kinase [EC:2.7.11.1]
NVE9432,K01301,NAALAD; N-acetylated-alpha-linked acidic dipeptidase [EC:3.4.17.21]
NVE18777,,
NVE20811,K00700,"GBE1; 1,4-alpha-glucan branching enzyme [EC:2.4.1.18]"
NVE10892,,
NVE20746,,
NVE18283,,
NVE6622,,
NVE4211,,
NVE2068,,
NVE5797,,
NVE17476,,
NVE5897,,
NVE6521,,
NVE12892,,
NVE25690,,
NVE18748,K12132,prkC; eukaryotic-like serine/threonine-protein kinase [EC:2.7.11.1]
NVE16046,,
NVE8135,,
NVE25082,,
NVE9395,,
NVE4456,K00714,
NVE12609,,
NVE19041,,
NVE24197,,
NVE18952,,
NVE1592,,
NVE14434,,
NVE17389,,
NVE12394,,
NVE5423,,
NVE23918,,
NVE24375,,
NVE17989,,
NVE13036,,
NVE306,,
NVE11069,,
NVE18746,,
NVE5208,,
NVE6407,,
NVE3521,,
NVE15196,,
NVE8201,,
NVE10055,,
NVE5298,K00232,E1.3.3.6; acyl-CoA oxidase [EC:1.3.3.6]
NVE25203,K10716,kch; voltage-gated potassium channel
NVE10703,,
NVE9452,,
NVE25456,,
NVE12970,,
NVE12453,,
NVE16695,,
NVE11124,,
NVE9056,K03294,"TC.APA; basic amino acid/polyamine antiporter, APA family"
NVE1229,,
NVE17095,,
NVE3714,,
NVE9429,K01897,ACSL; long-chain acyl-CoA synthetase [EC:6.2.1.3]
NVE4215,,
NVE7915,,
NVE19809,K01644,citE; citrate lyase subunit beta / citryl-CoA lyase [EC:4.1.3.34]
NVE2398,,
NVE22443,K03131,
NVE16458,,
NVE16271,,
NVE14922,,
NVE8634,,
NVE12212,,
NVE1627,,
NVE4525,,
NVE22550,,
NVE1646,,
NVE4498,,
NVE22886,,
NVE25204,,
NVE2413,,
NVE3139,,
NVE8310,,
NVE6400,,
NVE15089,K03317,"TC.CNT; concentrative nucleoside transporter, CNT family"
NVE23779,,
NVE20621,,
NVE12202,,
NVE16462,,
NVE9402,,
NVE3523,,
NVE2705,K03231,EEF1A; elongation factor 1-alpha
NVE7199,,
NVE22763,,
NVE6221,,
NVE11334,,
NVE16362,,
NVE7068,,
NVE6273,,
NVE7027,,
NVE19337,,
NVE21979,,
NVE20670,,
NVE3319,,
NVE291,,
NVE12683,,
NVE20140,,
NVE12292,,
NVE24226,,
NVE25737,,
NVE14525,,
NVE13670,,
NVE8055,,
NVE6584,,
NVE11837,,
NVE25357,,
NVE16562,,
NVE23172,,
NVE13163,K00615,E2.2.1.1; transketolase [EC:2.2.1.1]
NVE12668,K01652,E2.2.1.6L; acetolactate synthase I/II/III large subunit [EC:2.2.1.6]
NVE17117,,
NVE8626,,
NVE5989,,
NVE18911,,
NVE2121,,
NVE12910,,
NVE15517,K00681,ggt; gamma-glutamyltranspeptidase / glutathione hydrolase [EC:2.3.2.2 3.4.19.13]
NVE2074,,
NVE22752,K03294,"TC.APA; basic amino acid/polyamine antiporter, APA family"
NVE14192,,
NVE5730,,
NVE19201,,
NVE23920,K00681,ggt; gamma-glutamyltranspeptidase / glutathione hydrolase [EC:2.3.2.2 3.4.19.13]
NVE6176,,
NVE11832,,
NVE22517,,
NVE22744,,
NVE3532,,
NVE7627,,
NVE16201,,
NVE13321,,
NVE20985,,
NVE20318,,
NVE20083,,
NVE20193,K10716,kch; voltage-gated potassium channel
NVE15055,,
NVE13364,,
NVE26041,,
NVE11417,,
NVE21998,,
NVE5461,K00311,ETFDH; electron-transferring-flavoprotein dehydrogenase [EC:1.5.5.1]
NVE1910,K10747,LIG1; DNA ligase 1 [EC:6.5.1.1 6.5.1.6 6.5.1.7]
NVE5493,,
NVE19574,,
NVE10016,,
NVE19089,,
NVE19567,K03316,"TC.CPA1; monovalent cation:H+ antiporter, CPA1 family"
NVE9965,,
NVE13410,,
NVE18413,,
NVE3118,,
NVE17318,,
NVE12046,,
NVE15632,,
NVE14610,K12132,prkC; eukaryotic-like serine/threonine-protein kinase [EC:2.7.11.1]
NVE20819,,
NVE7897,,
NVE11596,K10457,
NVE184,,
NVE17757,,
NVE24965,,
NVE10125,,
NVE13116,,
NVE11335,,
NVE9151,,
NVE1614,,
NVE25546,,
NVE22083,,
NVE19422,,
NVE1005,,
NVE17654,K03929,pnbA; para-nitrobenzyl esterase [EC:3.1.1.-]
NVE7777,,
NVE11740,,
NVE14923,,
NVE23992,K03321,"TC.SULP; sulfate permease, SulP family"
NVE21694,,
NVE5206,,
NVE13095,,
NVE16810,,
NVE4677,,
NVE14232,,
NVE16060,,
NVE21283,,
NVE15275,,
NVE10601,,
NVE23851,,
NVE1252,,
NVE8498,,
NVE12831,,
NVE18087,,
NVE3327,,
NVE4731,K03929,pnbA; para-nitrobenzyl esterase [EC:3.1.1.-]
NVE24094,,
NVE25762,,
NVE18899,,
NVE7933,K03124,TFIIB; transcription initiation factor TFIIB
NVE20302,,
NVE15648,,
NVE11495,,
NVE23559,,
NVE2988,K08369,"ydjE; MFS transporter, putative metabolite:H+ symporter"
NVE8450,K10413,
NVE6253,K10085,"EDEM2; ER degradation enhancer, mannosidase alpha-like 2"
NVE1712,,
NVE1451,K03929,pnbA; para-nitrobenzyl esterase [EC:3.1.1.-]
NVE11077,,
NVE8337,,
NVE8606,K08369,"ydjE; MFS transporter, putative metabolite:H+ symporter"
NVE879,K10716,kch; voltage-gated potassium channel
NVE3090,,
NVE52,,
NVE1662,K04605,
NVE12573,,
NVE3584,K19640,"hypX; putative two-component system protein, hydrogenase maturation factor HypX/HoxX"
NVE2642,K03688,ubiB; ubiquinone biosynthesis protein
NVE9036,,
NVE6704,,
NVE26216,,
NVE25079,,
NVE16801,,
