"Pathway","cluster","KO","Description","Category","Family","KO.y","Name"
"04012 ErbB signaling pathway","NVE10954","K04440","JNK; c-Jun N-terminal kinase [EC:2.7.11.24]","Environmental Information Processing","Signal transduction","ko04012","JNK, c-Jun N-terminal kinase"
"04310 Wnt signaling pathway","NVE10954","K04440","JNK; c-Jun N-terminal kinase [EC:2.7.11.24]","Environmental Information Processing","Signal transduction","ko04310","JNK, c-Jun N-terminal kinase"
"04391 Hippo signaling pathway -fly","NVE10954","K04440","JNK; c-Jun N-terminal kinase [EC:2.7.11.24]","Environmental Information Processing","Signal transduction","ko04391","JNK, c-Jun N-terminal kinase"
"04668 TNF signaling pathway","NVE10954","K04440","JNK; c-Jun N-terminal kinase [EC:2.7.11.24]","Environmental Information Processing","Signal transduction","ko04668","JNK, c-Jun N-terminal kinase"
"04068 FoxO signaling pathway","NVE10954","K04440","JNK; c-Jun N-terminal kinase [EC:2.7.11.24]","Environmental Information Processing","Signal transduction","ko04068","JNK, c-Jun N-terminal kinase"
"04071 Sphingolipid signaling pathway","NVE10954","K04440","JNK; c-Jun N-terminal kinase [EC:2.7.11.24]","Environmental Information Processing","Signal transduction","ko04071","JNK, c-Jun N-terminal kinase"
"04024 cAMP signaling pathway","NVE10954","K04440","JNK; c-Jun N-terminal kinase [EC:2.7.11.24]","Environmental Information Processing","Signal transduction","ko04024","JNK, c-Jun N-terminal kinase"
"04140 Autophagy - animal","NVE10954","K04440","JNK; c-Jun N-terminal kinase [EC:2.7.11.24]","Cellular Processes","Transport and catabolism","ko04140","JNK, c-Jun N-terminal kinase"
"04137 Mitophagy - animal","NVE10954","K04440","JNK; c-Jun N-terminal kinase [EC:2.7.11.24]","Cellular Processes","Transport and catabolism","ko04137","JNK, c-Jun N-terminal kinase"
"04210 Apoptosis","NVE10954","K04440","JNK; c-Jun N-terminal kinase [EC:2.7.11.24]","Cellular Processes","Cell growth and death","ko04210","JNK, c-Jun N-terminal kinase"
"04214 Apoptosis - fly","NVE10954","K04440","JNK; c-Jun N-terminal kinase [EC:2.7.11.24]","Cellular Processes","Cell growth and death","ko04214","JNK, c-Jun N-terminal kinase"
"04215 Apoptosis - multiple species","NVE10954","K04440","JNK; c-Jun N-terminal kinase [EC:2.7.11.24]","Cellular Processes","Cell growth and death","ko04215","JNK, c-Jun N-terminal kinase"
"04217 Necroptosis","NVE10954","K04440","JNK; c-Jun N-terminal kinase [EC:2.7.11.24]","Cellular Processes","Cell growth and death","ko04217","JNK, c-Jun N-terminal kinase"
"04510 Focal adhesion","NVE10954","K04440","JNK; c-Jun N-terminal kinase [EC:2.7.11.24]","Cellular Processes","Cellular community - eukaryotes","ko04510","JNK, c-Jun N-terminal kinase"
"04530 Tight junction","NVE10954","K04440","JNK; c-Jun N-terminal kinase [EC:2.7.11.24]","Cellular Processes","Cellular community - eukaryotes","ko04530","JNK, c-Jun N-terminal kinase"
"04620 Toll-like receptor signaling pathway","NVE10954","K04440","JNK; c-Jun N-terminal kinase [EC:2.7.11.24]","Organismal Systems","Immune system","ko04620","JNK, c-Jun N-terminal kinase"
"04624 Toll and Imd signaling pathway","NVE10954","K04440","JNK; c-Jun N-terminal kinase [EC:2.7.11.24]","Organismal Systems","Immune system","ko04624","JNK, c-Jun N-terminal kinase"
"04621 NOD-like receptor signaling pathway","NVE10954","K04440","JNK; c-Jun N-terminal kinase [EC:2.7.11.24]","Organismal Systems","Immune system","ko04621","JNK, c-Jun N-terminal kinase"
"04622 RIG-I-like receptor signaling pathway","NVE10954","K04440","JNK; c-Jun N-terminal kinase [EC:2.7.11.24]","Organismal Systems","Immune system","ko04622","JNK, c-Jun N-terminal kinase"
"04658 Th1 and Th2 cell differentiation","NVE10954","K04440","JNK; c-Jun N-terminal kinase [EC:2.7.11.24]","Organismal Systems","Immune system","ko04658","JNK, c-Jun N-terminal kinase"
"04659 Th17 cell differentiation","NVE10954","K04440","JNK; c-Jun N-terminal kinase [EC:2.7.11.24]","Organismal Systems","Immune system","ko04659","JNK, c-Jun N-terminal kinase"
"04657 IL-17 signaling pathway","NVE10954","K04440","JNK; c-Jun N-terminal kinase [EC:2.7.11.24]","Organismal Systems","Immune system","ko04657","JNK, c-Jun N-terminal kinase"
"04664 Fc epsilon RI signaling pathway","NVE10954","K04440","JNK; c-Jun N-terminal kinase [EC:2.7.11.24]","Organismal Systems","Immune system","ko04664","JNK, c-Jun N-terminal kinase"
"04910 Insulin signaling pathway","NVE10954","K04440","JNK; c-Jun N-terminal kinase [EC:2.7.11.24]","Organismal Systems","Endocrine system","ko04910","JNK, c-Jun N-terminal kinase"
"04920 Adipocytokine signaling pathway","NVE10954","K04440","JNK; c-Jun N-terminal kinase [EC:2.7.11.24]","Organismal Systems","Endocrine system","ko04920","JNK, c-Jun N-terminal kinase"
"04912 GnRH signaling pathway","NVE10954","K04440","JNK; c-Jun N-terminal kinase [EC:2.7.11.24]","Organismal Systems","Endocrine system","ko04912","JNK, c-Jun N-terminal kinase"
"04914 Progesterone-mediated oocyte maturation","NVE10954","K04440","JNK; c-Jun N-terminal kinase [EC:2.7.11.24]","Organismal Systems","Endocrine system","ko04914","JNK, c-Jun N-terminal kinase"
"04917 Prolactin signaling pathway","NVE10954","K04440","JNK; c-Jun N-terminal kinase [EC:2.7.11.24]","Organismal Systems","Endocrine system","ko04917","JNK, c-Jun N-terminal kinase"
"04728 Dopaminergic synapse","NVE10954","K04440","JNK; c-Jun N-terminal kinase [EC:2.7.11.24]","Organismal Systems","Nervous system","ko04728","JNK, c-Jun N-terminal kinase"
"04723 Retrograde endocannabinoid signaling","NVE10954","K04440","JNK; c-Jun N-terminal kinase [EC:2.7.11.24]","Organismal Systems","Nervous system","ko04723","JNK, c-Jun N-terminal kinase"
"04722 Neurotrophin signaling pathway","NVE10954","K04440","JNK; c-Jun N-terminal kinase [EC:2.7.11.24]","Organismal Systems","Nervous system","ko04722","JNK, c-Jun N-terminal kinase"
"04750 Inflammatory mediator regulation of TRP channels","NVE10954","K04440","JNK; c-Jun N-terminal kinase [EC:2.7.11.24]","Organismal Systems","Sensory system","ko04750","JNK, c-Jun N-terminal kinase"
"04380 Osteoclast differentiation","NVE10954","K04440","JNK; c-Jun N-terminal kinase [EC:2.7.11.24]","Organismal Systems","Development","ko04380","JNK, c-Jun N-terminal kinase"
"04212 Longevity regulating pathway - worm","NVE10954","K04440","JNK; c-Jun N-terminal kinase [EC:2.7.11.24]","Organismal Systems","Aging","ko04212","JNK, c-Jun N-terminal kinase"
"04932 Non-alcoholic fatty liver disease (NAFLD)","NVE10954","K04440","JNK; c-Jun N-terminal kinase [EC:2.7.11.24]","Human Diseases","Endocrine and metabolic diseases","ko04932","JNK, c-Jun N-terminal kinase"
"05168 Herpes simplex infection","NVE10954","K04440","JNK; c-Jun N-terminal kinase [EC:2.7.11.24]","Human Diseases","Infectious diseases","ko05168","JNK, c-Jun N-terminal kinase"
"05142 Chagas disease (American trypanosomiasis)","NVE10954","K04440","JNK; c-Jun N-terminal kinase [EC:2.7.11.24]","Human Diseases","Infectious diseases","ko05142","JNK, c-Jun N-terminal kinase"
"04015 Rap1 signaling pathway","NVE6174","K04441","P38; p38 MAP kinase [EC:2.7.11.24]","Environmental Information Processing","Signal transduction","ko04015","P38, p38 MAP kinase"
"04010 MAPK signaling pathway","NVE6174","K04441","P38; p38 MAP kinase [EC:2.7.11.24]","Environmental Information Processing","Signal transduction","ko04010","P38, p38 MAP kinase"
"04013 MAPK signaling pathway - fly","NVE6174","K04441","P38; p38 MAP kinase [EC:2.7.11.24]","Environmental Information Processing","Signal transduction","ko04013","P38, p38 MAP kinase"
"04011 MAPK signaling pathway - yeast","NVE6174","K04441","P38; p38 MAP kinase [EC:2.7.11.24]","Environmental Information Processing","Signal transduction","ko04011","P38, p38 MAP kinase"
"04370 VEGF signaling pathway","NVE6174","K04441","P38; p38 MAP kinase [EC:2.7.11.24]","Environmental Information Processing","Signal transduction","ko04370","P38, p38 MAP kinase"
"04668 TNF signaling pathway","NVE6174","K04441","P38; p38 MAP kinase [EC:2.7.11.24]","Environmental Information Processing","Signal transduction","ko04668","P38, p38 MAP kinase"
"04068 FoxO signaling pathway","NVE6174","K04441","P38; p38 MAP kinase [EC:2.7.11.24]","Environmental Information Processing","Signal transduction","ko04068","P38, p38 MAP kinase"
"04071 Sphingolipid signaling pathway","NVE6174","K04441","P38; p38 MAP kinase [EC:2.7.11.24]","Environmental Information Processing","Signal transduction","ko04071","P38, p38 MAP kinase"
"04139 Mitophagy - yeast","NVE6174","K04441","P38; p38 MAP kinase [EC:2.7.11.24]","Cellular Processes","Transport and catabolism","ko04139","P38, p38 MAP kinase"
"04550 Signaling pathways regulating pluripotency of stem cells","NVE6174","K04441","P38; p38 MAP kinase [EC:2.7.11.24]","Cellular Processes","Cellular community - eukaryotes","ko04550","P38, p38 MAP kinase"
"04611 Platelet activation","NVE6174","K04441","P38; p38 MAP kinase [EC:2.7.11.24]","Organismal Systems","Immune system","ko04611","P38, p38 MAP kinase"
"04620 Toll-like receptor signaling pathway","NVE6174","K04441","P38; p38 MAP kinase [EC:2.7.11.24]","Organismal Systems","Immune system","ko04620","P38, p38 MAP kinase"
"04624 Toll and Imd signaling pathway","NVE6174","K04441","P38; p38 MAP kinase [EC:2.7.11.24]","Organismal Systems","Immune system","ko04624","P38, p38 MAP kinase"
"04621 NOD-like receptor signaling pathway","NVE6174","K04441","P38; p38 MAP kinase [EC:2.7.11.24]","Organismal Systems","Immune system","ko04621","P38, p38 MAP kinase"
"04622 RIG-I-like receptor signaling pathway","NVE6174","K04441","P38; p38 MAP kinase [EC:2.7.11.24]","Organismal Systems","Immune system","ko04622","P38, p38 MAP kinase"
"04660 T cell receptor signaling pathway","NVE6174","K04441","P38; p38 MAP kinase [EC:2.7.11.24]","Organismal Systems","Immune system","ko04660","P38, p38 MAP kinase"
"04658 Th1 and Th2 cell differentiation","NVE6174","K04441","P38; p38 MAP kinase [EC:2.7.11.24]","Organismal Systems","Immune system","ko04658","P38, p38 MAP kinase"
"04659 Th17 cell differentiation","NVE6174","K04441","P38; p38 MAP kinase [EC:2.7.11.24]","Organismal Systems","Immune system","ko04659","P38, p38 MAP kinase"
"04657 IL-17 signaling pathway","NVE6174","K04441","P38; p38 MAP kinase [EC:2.7.11.24]","Organismal Systems","Immune system","ko04657","P38, p38 MAP kinase"
"04664 Fc epsilon RI signaling pathway","NVE6174","K04441","P38; p38 MAP kinase [EC:2.7.11.24]","Organismal Systems","Immune system","ko04664","P38, p38 MAP kinase"
"04670 Leukocyte transendothelial migration","NVE6174","K04441","P38; p38 MAP kinase [EC:2.7.11.24]","Organismal Systems","Immune system","ko04670","P38, p38 MAP kinase"
"04912 GnRH signaling pathway","NVE6174","K04441","P38; p38 MAP kinase [EC:2.7.11.24]","Organismal Systems","Endocrine system","ko04912","P38, p38 MAP kinase"
"04914 Progesterone-mediated oocyte maturation","NVE6174","K04441","P38; p38 MAP kinase [EC:2.7.11.24]","Organismal Systems","Endocrine system","ko04914","P38, p38 MAP kinase"
"04917 Prolactin signaling pathway","NVE6174","K04441","P38; p38 MAP kinase [EC:2.7.11.24]","Organismal Systems","Endocrine system","ko04917","P38, p38 MAP kinase"
"04261 Adrenergic signaling in cardiomyocytes","NVE6174","K04441","P38; p38 MAP kinase [EC:2.7.11.24]","Organismal Systems","Circulatory system","ko04261","P38, p38 MAP kinase"
"04728 Dopaminergic synapse","NVE6174","K04441","P38; p38 MAP kinase [EC:2.7.11.24]","Organismal Systems","Nervous system","ko04728","P38, p38 MAP kinase"
"04723 Retrograde endocannabinoid signaling","NVE6174","K04441","P38; p38 MAP kinase [EC:2.7.11.24]","Organismal Systems","Nervous system","ko04723","P38, p38 MAP kinase"
"04722 Neurotrophin signaling pathway","NVE6174","K04441","P38; p38 MAP kinase [EC:2.7.11.24]","Organismal Systems","Nervous system","ko04722","P38, p38 MAP kinase"
"04750 Inflammatory mediator regulation of TRP channels","NVE6174","K04441","P38; p38 MAP kinase [EC:2.7.11.24]","Organismal Systems","Sensory system","ko04750","P38, p38 MAP kinase"
"04380 Osteoclast differentiation","NVE6174","K04441","P38; p38 MAP kinase [EC:2.7.11.24]","Organismal Systems","Development","ko04380","P38, p38 MAP kinase"
"04212 Longevity regulating pathway - worm","NVE6174","K04441","P38; p38 MAP kinase [EC:2.7.11.24]","Organismal Systems","Aging","ko04212","P38, p38 MAP kinase"
"05014 Amyotrophic lateral sclerosis (ALS)","NVE6174","K04441","P38; p38 MAP kinase [EC:2.7.11.24]","Human Diseases","Neurodegenerative diseases","ko05014","P38, p38 MAP kinase"
"05142 Chagas disease (American trypanosomiasis)","NVE6174","K04441","P38; p38 MAP kinase [EC:2.7.11.24]","Human Diseases","Infectious diseases","ko05142","P38, p38 MAP kinase"
"04010 MAPK signaling pathway","NVE24698","K04443","MAPKAPK2; mitogen-activated protein kinase-activated protein kinase 2 [EC:2.7.11.1]","Environmental Information Processing","Signal transduction","ko04010","MAPKAPK2, mitogen-activated protein kinase-activated protein kinase 2"
"04370 VEGF signaling pathway","NVE24698","K04443","MAPKAPK2; mitogen-activated protein kinase-activated protein kinase 2 [EC:2.7.11.1]","Environmental Information Processing","Signal transduction","ko04370","MAPKAPK2, mitogen-activated protein kinase-activated protein kinase 2"
"04722 Neurotrophin signaling pathway","NVE24698","K04443","MAPKAPK2; mitogen-activated protein kinase-activated protein kinase 2 [EC:2.7.11.1]","Organismal Systems","Nervous system","ko04722","MAPKAPK2, mitogen-activated protein kinase-activated protein kinase 2"
"04010 MAPK signaling pathway","NVE973","K04445","RPS6KA5; ribosomal protein S6 kinase alpha-5 [EC:2.7.11.1]","Environmental Information Processing","Signal transduction","ko04010","MSK1, RPS6KA5, ribosomal protein S6 kinase alpha-5"
"04668 TNF signaling pathway","NVE973","K04445","RPS6KA5; ribosomal protein S6 kinase alpha-5 [EC:2.7.11.1]","Environmental Information Processing","Signal transduction","ko04668","MSK1, RPS6KA5, ribosomal protein S6 kinase alpha-5"
"04261 Adrenergic signaling in cardiomyocytes","NVE973","K04445","RPS6KA5; ribosomal protein S6 kinase alpha-5 [EC:2.7.11.1]","Organismal Systems","Circulatory system","ko04261","MSK1, RPS6KA5, ribosomal protein S6 kinase alpha-5"
"04722 Neurotrophin signaling pathway","NVE973","K04445","RPS6KA5; ribosomal protein S6 kinase alpha-5 [EC:2.7.11.1]","Organismal Systems","Nervous system","ko04722","MSK1, RPS6KA5, ribosomal protein S6 kinase alpha-5"
"04713 Circadian entrainment","NVE973","K04445","RPS6KA5; ribosomal protein S6 kinase alpha-5 [EC:2.7.11.1]","Organismal Systems","Environmental adaptation","ko04713","MSK1, RPS6KA5, ribosomal protein S6 kinase alpha-5"
"04010 MAPK signaling pathway","NVE16876","K04448","JUN; transcription factor AP-1","Environmental Information Processing","Signal transduction","ko04010","JUN, transcription factor AP-1"
"04013 MAPK signaling pathway - fly","NVE16876","K04448","JUN; transcription factor AP-1","Environmental Information Processing","Signal transduction","ko04013","JUN, transcription factor AP-1"
"04012 ErbB signaling pathway","NVE16876","K04448","JUN; transcription factor AP-1","Environmental Information Processing","Signal transduction","ko04012","JUN, transcription factor AP-1"
"04310 Wnt signaling pathway","NVE16876","K04448","JUN; transcription factor AP-1","Environmental Information Processing","Signal transduction","ko04310","JUN, transcription factor AP-1"
"04668 TNF signaling pathway","NVE16876","K04448","JUN; transcription factor AP-1","Environmental Information Processing","Signal transduction","ko04668","JUN, transcription factor AP-1"
"04024 cAMP signaling pathway","NVE16876","K04448","JUN; transcription factor AP-1","Environmental Information Processing","Signal transduction","ko04024","JUN, transcription factor AP-1"
"04137 Mitophagy - animal","NVE16876","K04448","JUN; transcription factor AP-1","Cellular Processes","Transport and catabolism","ko04137","JUN, transcription factor AP-1"
"04210 Apoptosis","NVE16876","K04448","JUN; transcription factor AP-1","Cellular Processes","Cell growth and death","ko04210","JUN, transcription factor AP-1"
"04214 Apoptosis - fly","NVE16876","K04448","JUN; transcription factor AP-1","Cellular Processes","Cell growth and death","ko04214","JUN, transcription factor AP-1"
"04510 Focal adhesion","NVE16876","K04448","JUN; transcription factor AP-1","Cellular Processes","Cellular community - eukaryotes","ko04510","JUN, transcription factor AP-1"
"04530 Tight junction","NVE16876","K04448","JUN; transcription factor AP-1","Cellular Processes","Cellular community - eukaryotes","ko04530","JUN, transcription factor AP-1"
"04620 Toll-like receptor signaling pathway","NVE16876","K04448","JUN; transcription factor AP-1","Organismal Systems","Immune system","ko04620","JUN, transcription factor AP-1"
"04624 Toll and Imd signaling pathway","NVE16876","K04448","JUN; transcription factor AP-1","Organismal Systems","Immune system","ko04624","JUN, transcription factor AP-1"
"04621 NOD-like receptor signaling pathway","NVE16876","K04448","JUN; transcription factor AP-1","Organismal Systems","Immune system","ko04621","JUN, transcription factor AP-1"
"04660 T cell receptor signaling pathway","NVE16876","K04448","JUN; transcription factor AP-1","Organismal Systems","Immune system","ko04660","JUN, transcription factor AP-1"
"04658 Th1 and Th2 cell differentiation","NVE16876","K04448","JUN; transcription factor AP-1","Organismal Systems","Immune system","ko04658","JUN, transcription factor AP-1"
"04659 Th17 cell differentiation","NVE16876","K04448","JUN; transcription factor AP-1","Organismal Systems","Immune system","ko04659","JUN, transcription factor AP-1"
"04657 IL-17 signaling pathway","NVE16876","K04448","JUN; transcription factor AP-1","Organismal Systems","Immune system","ko04657","JUN, transcription factor AP-1"
"04662 B cell receptor signaling pathway","NVE16876","K04448","JUN; transcription factor AP-1","Organismal Systems","Immune system","ko04662","JUN, transcription factor AP-1"
"04912 GnRH signaling pathway","NVE16876","K04448","JUN; transcription factor AP-1","Organismal Systems","Endocrine system","ko04912","JUN, transcription factor AP-1"
"04915 Estrogen signaling pathway","NVE16876","K04448","JUN; transcription factor AP-1","Organismal Systems","Endocrine system","ko04915","JUN, transcription factor AP-1"
"04921 Oxytocin signaling pathway","NVE16876","K04448","JUN; transcription factor AP-1","Organismal Systems","Endocrine system","ko04921","JUN, transcription factor AP-1"
"04722 Neurotrophin signaling pathway","NVE16876","K04448","JUN; transcription factor AP-1","Organismal Systems","Nervous system","ko04722","JUN, transcription factor AP-1"
"04380 Osteoclast differentiation","NVE16876","K04448","JUN; transcription factor AP-1","Organismal Systems","Development","ko04380","JUN, transcription factor AP-1"
"05321 Inflammatiory bowel disease (IBD)","NVE16876","K04448","JUN; transcription factor AP-1","Human Diseases","Immune diseases","ko05321","JUN, transcription factor"
"04932 Non-alcoholic fatty liver disease (NAFLD)","NVE16876","K04448","JUN; transcription factor AP-1","Human Diseases","Endocrine and metabolic diseases","ko04932","JUN, transcription factor AP-1"
"05166 HTLV-I infection","NVE16876","K04448","JUN; transcription factor AP-1","Human Diseases","Infectious diseases","ko05166","JUN, transcription factor AP-1"
"05168 Herpes simplex infection","NVE16876","K04448","JUN; transcription factor AP-1","Human Diseases","Infectious diseases","ko05168","JUN, transcription factor AP-1"
"05142 Chagas disease (American trypanosomiasis)","NVE16876","K04448","JUN; transcription factor AP-1","Human Diseases","Infectious diseases","ko05142","JUN, transcription factor AP-1"
"04010 MAPK signaling pathway","NVE21090","K04448","JUN; transcription factor AP-1","Environmental Information Processing","Signal transduction","ko04010","JUN, transcription factor AP-1"
"04013 MAPK signaling pathway - fly","NVE21090","K04448","JUN; transcription factor AP-1","Environmental Information Processing","Signal transduction","ko04013","JUN, transcription factor AP-1"
"04012 ErbB signaling pathway","NVE21090","K04448","JUN; transcription factor AP-1","Environmental Information Processing","Signal transduction","ko04012","JUN, transcription factor AP-1"
"04310 Wnt signaling pathway","NVE21090","K04448","JUN; transcription factor AP-1","Environmental Information Processing","Signal transduction","ko04310","JUN, transcription factor AP-1"
"04668 TNF signaling pathway","NVE21090","K04448","JUN; transcription factor AP-1","Environmental Information Processing","Signal transduction","ko04668","JUN, transcription factor AP-1"
"04024 cAMP signaling pathway","NVE21090","K04448","JUN; transcription factor AP-1","Environmental Information Processing","Signal transduction","ko04024","JUN, transcription factor AP-1"
"04137 Mitophagy - animal","NVE21090","K04448","JUN; transcription factor AP-1","Cellular Processes","Transport and catabolism","ko04137","JUN, transcription factor AP-1"
"04210 Apoptosis","NVE21090","K04448","JUN; transcription factor AP-1","Cellular Processes","Cell growth and death","ko04210","JUN, transcription factor AP-1"
"04214 Apoptosis - fly","NVE21090","K04448","JUN; transcription factor AP-1","Cellular Processes","Cell growth and death","ko04214","JUN, transcription factor AP-1"
"04510 Focal adhesion","NVE21090","K04448","JUN; transcription factor AP-1","Cellular Processes","Cellular community - eukaryotes","ko04510","JUN, transcription factor AP-1"
"04530 Tight junction","NVE21090","K04448","JUN; transcription factor AP-1","Cellular Processes","Cellular community - eukaryotes","ko04530","JUN, transcription factor AP-1"
"04620 Toll-like receptor signaling pathway","NVE21090","K04448","JUN; transcription factor AP-1","Organismal Systems","Immune system","ko04620","JUN, transcription factor AP-1"
"04624 Toll and Imd signaling pathway","NVE21090","K04448","JUN; transcription factor AP-1","Organismal Systems","Immune system","ko04624","JUN, transcription factor AP-1"
"04621 NOD-like receptor signaling pathway","NVE21090","K04448","JUN; transcription factor AP-1","Organismal Systems","Immune system","ko04621","JUN, transcription factor AP-1"
"04660 T cell receptor signaling pathway","NVE21090","K04448","JUN; transcription factor AP-1","Organismal Systems","Immune system","ko04660","JUN, transcription factor AP-1"
"04658 Th1 and Th2 cell differentiation","NVE21090","K04448","JUN; transcription factor AP-1","Organismal Systems","Immune system","ko04658","JUN, transcription factor AP-1"
"04659 Th17 cell differentiation","NVE21090","K04448","JUN; transcription factor AP-1","Organismal Systems","Immune system","ko04659","JUN, transcription factor AP-1"
"04657 IL-17 signaling pathway","NVE21090","K04448","JUN; transcription factor AP-1","Organismal Systems","Immune system","ko04657","JUN, transcription factor AP-1"
"04662 B cell receptor signaling pathway","NVE21090","K04448","JUN; transcription factor AP-1","Organismal Systems","Immune system","ko04662","JUN, transcription factor AP-1"
"04912 GnRH signaling pathway","NVE21090","K04448","JUN; transcription factor AP-1","Organismal Systems","Endocrine system","ko04912","JUN, transcription factor AP-1"
"04915 Estrogen signaling pathway","NVE21090","K04448","JUN; transcription factor AP-1","Organismal Systems","Endocrine system","ko04915","JUN, transcription factor AP-1"
"04921 Oxytocin signaling pathway","NVE21090","K04448","JUN; transcription factor AP-1","Organismal Systems","Endocrine system","ko04921","JUN, transcription factor AP-1"
"04722 Neurotrophin signaling pathway","NVE21090","K04448","JUN; transcription factor AP-1","Organismal Systems","Nervous system","ko04722","JUN, transcription factor AP-1"
"04380 Osteoclast differentiation","NVE21090","K04448","JUN; transcription factor AP-1","Organismal Systems","Development","ko04380","JUN, transcription factor AP-1"
"05321 Inflammatiory bowel disease (IBD)","NVE21090","K04448","JUN; transcription factor AP-1","Human Diseases","Immune diseases","ko05321","JUN, transcription factor"
"04932 Non-alcoholic fatty liver disease (NAFLD)","NVE21090","K04448","JUN; transcription factor AP-1","Human Diseases","Endocrine and metabolic diseases","ko04932","JUN, transcription factor AP-1"
"05166 HTLV-I infection","NVE21090","K04448","JUN; transcription factor AP-1","Human Diseases","Infectious diseases","ko05166","JUN, transcription factor AP-1"
"05168 Herpes simplex infection","NVE21090","K04448","JUN; transcription factor AP-1","Human Diseases","Infectious diseases","ko05168","JUN, transcription factor AP-1"
"05142 Chagas disease (American trypanosomiasis)","NVE21090","K04448","JUN; transcription factor AP-1","Human Diseases","Infectious diseases","ko05142","JUN, transcription factor AP-1"
"04010 MAPK signaling pathway","NVE19367","K04448","","Environmental Information Processing","Signal transduction","ko04010","JUN, transcription factor AP-1"
"04013 MAPK signaling pathway - fly","NVE19367","K04448","","Environmental Information Processing","Signal transduction","ko04013","JUN, transcription factor AP-1"
"04012 ErbB signaling pathway","NVE19367","K04448","","Environmental Information Processing","Signal transduction","ko04012","JUN, transcription factor AP-1"
"04310 Wnt signaling pathway","NVE19367","K04448","","Environmental Information Processing","Signal transduction","ko04310","JUN, transcription factor AP-1"
"04668 TNF signaling pathway","NVE19367","K04448","","Environmental Information Processing","Signal transduction","ko04668","JUN, transcription factor AP-1"
"04024 cAMP signaling pathway","NVE19367","K04448","","Environmental Information Processing","Signal transduction","ko04024","JUN, transcription factor AP-1"
"04137 Mitophagy - animal","NVE19367","K04448","","Cellular Processes","Transport and catabolism","ko04137","JUN, transcription factor AP-1"
"04210 Apoptosis","NVE19367","K04448","","Cellular Processes","Cell growth and death","ko04210","JUN, transcription factor AP-1"
"04214 Apoptosis - fly","NVE19367","K04448","","Cellular Processes","Cell growth and death","ko04214","JUN, transcription factor AP-1"
"04510 Focal adhesion","NVE19367","K04448","","Cellular Processes","Cellular community - eukaryotes","ko04510","JUN, transcription factor AP-1"
"04530 Tight junction","NVE19367","K04448","","Cellular Processes","Cellular community - eukaryotes","ko04530","JUN, transcription factor AP-1"
"04620 Toll-like receptor signaling pathway","NVE19367","K04448","","Organismal Systems","Immune system","ko04620","JUN, transcription factor AP-1"
"04624 Toll and Imd signaling pathway","NVE19367","K04448","","Organismal Systems","Immune system","ko04624","JUN, transcription factor AP-1"
"04621 NOD-like receptor signaling pathway","NVE19367","K04448","","Organismal Systems","Immune system","ko04621","JUN, transcription factor AP-1"
"04660 T cell receptor signaling pathway","NVE19367","K04448","","Organismal Systems","Immune system","ko04660","JUN, transcription factor AP-1"
"04658 Th1 and Th2 cell differentiation","NVE19367","K04448","","Organismal Systems","Immune system","ko04658","JUN, transcription factor AP-1"
"04659 Th17 cell differentiation","NVE19367","K04448","","Organismal Systems","Immune system","ko04659","JUN, transcription factor AP-1"
"04657 IL-17 signaling pathway","NVE19367","K04448","","Organismal Systems","Immune system","ko04657","JUN, transcription factor AP-1"
"04662 B cell receptor signaling pathway","NVE19367","K04448","","Organismal Systems","Immune system","ko04662","JUN, transcription factor AP-1"
"04912 GnRH signaling pathway","NVE19367","K04448","","Organismal Systems","Endocrine system","ko04912","JUN, transcription factor AP-1"
"04915 Estrogen signaling pathway","NVE19367","K04448","","Organismal Systems","Endocrine system","ko04915","JUN, transcription factor AP-1"
"04921 Oxytocin signaling pathway","NVE19367","K04448","","Organismal Systems","Endocrine system","ko04921","JUN, transcription factor AP-1"
"04722 Neurotrophin signaling pathway","NVE19367","K04448","","Organismal Systems","Nervous system","ko04722","JUN, transcription factor AP-1"
"04380 Osteoclast differentiation","NVE19367","K04448","","Organismal Systems","Development","ko04380","JUN, transcription factor AP-1"
"05321 Inflammatiory bowel disease (IBD)","NVE19367","K04448","","Human Diseases","Immune diseases","ko05321","JUN, transcription factor"
"04932 Non-alcoholic fatty liver disease (NAFLD)","NVE19367","K04448","","Human Diseases","Endocrine and metabolic diseases","ko04932","JUN, transcription factor AP-1"
"05166 HTLV-I infection","NVE19367","K04448","","Human Diseases","Infectious diseases","ko05166","JUN, transcription factor AP-1"
"05168 Herpes simplex infection","NVE19367","K04448","","Human Diseases","Infectious diseases","ko05168","JUN, transcription factor AP-1"
"05142 Chagas disease (American trypanosomiasis)","NVE19367","K04448","","Human Diseases","Infectious diseases","ko05142","JUN, transcription factor AP-1"
"04010 MAPK signaling pathway","NVE9500","K04449","","Environmental Information Processing","Signal transduction","ko04010","JUND, transcription factor jun-D"
"04657 IL-17 signaling pathway","NVE9500","K04449","","Organismal Systems","Immune system","ko04657","JUND, transcription factor jun-D"
"04380 Osteoclast differentiation","NVE9500","K04449","","Organismal Systems","Development","ko04380","JUND, transcription factor jun-D"
"04010 MAPK signaling pathway","NVE20585","K04450","","Environmental Information Processing","Signal transduction","ko04010","ATF2, CREBP1, cyclic AMP-dependent transcription"
"04013 MAPK signaling pathway - fly","NVE20585","K04450","","Environmental Information Processing","Signal transduction","ko04013","ATF2, CREBP1, cyclic AMP-dependent"
